科目番号／科目名,単位／年次,学期／時期,教室,担当,実施形態,概要,備考
"1101102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1B202,西村 雄太,対面,大学生活について知識と理解を深め、学問研究への動機づけを高める。とくに人文学類における各主専攻分野の学習と研究について理解を促すとともに、大学におけるコミュニケーションの方法等について基本的な指導を行う。,人文1クラス対象 対面
"1101202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1C210,清水 克志,対面,大学生活について知識と理解を深め、学問研究への動機づけを高める。とくに人文学類における各主専攻分野の学習と研究について理解を促すとともに、大学におけるコミュニケーションの方法等について基本的な指導を行う。,人文2クラス対象 対面
"1101302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1C306,中村 友香,対面,大学生活について知識と理解を深め、学問研究への動機づけを高める。とくに人文学類における各主専攻分野の学習と研究について理解を促すとともに、大学におけるコミュニケーションの方法等について基本的な指導を行う。,人文3クラス対象 対面
"1101402
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1C310,和田 尚明,対面,大学生活について知識と理解を深め、学問研究への動機づけを高める。とくに人文学類における各主専攻分野の学習と研究について理解を促すとともに、大学におけるコミュニケーションの方法等について基本的な指導を行う。,人文4クラス対象 対面
"1101502
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1C403,小泉 利恵,対面,大学生活について知識と理解を深め、学問研究への動機づけを高める。とくに人文学類における各主専攻分野の学習と研究について理解を促すとともに、大学におけるコミュニケーションの方法等について基本的な指導を行う。,人文5クラス対象 対面
"1102102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",2C403,馬場 美佳,対面,"これからの大学における学問との取り組み方,生活の仕方などについて考える。",比文1クラス対象 CDP. 対面
"1102202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",2C407,横山 剛,対面,"これからの大学における学問との取り組み方,生活の仕方などについて考える。",比文2クラス対象 CDP. 対面
"1102302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",2C410,山口 有梨沙,対面,"これからの大学における学問との取り組み方,生活の仕方などについて考える。",比文3クラス対象 CDP. 対面
"1103102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",2G407,江口 真規,対面,"教室内外の活動を通して,大学生活・学問の進めかた等について,相互の理解を深める。",日日1クラス対象 対面
"1104102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2","1H101
1C310",加島 卓,"対面
オンデマンド
同時双方向",これからの大学生活のあり方を共に考え、社会科学の特質と方法の学習に必要な基礎づくりをする。,社会1クラス対象 CDP. 対面 授業内容と状況に応じて、同時双方向、オンデマンド、その他の形態となる可能性がある。その場合は事前に周知する。
